DHSCLUST,Wealth Index,DHSID,longitude,latitude
364,43582.44444,PH201700000364,122.9098515,10.60045562
365,-17337.93333,PH201700000365,122.9704283,10.60745892
366,91534.76923,PH201700000366,123.0294895,10.67204646
367,147047.1667,PH201700000367,122.9937771,10.67438936
368,82210.06667,PH201700000368,122.9701125,10.68769401
369,2366.25,PH201700000369,122.9789138,10.64571575
370,154762.5,PH201700000370,122.9632334,10.6494944
371,-57168.88235,PH201700000371,123.0134104,10.62021047
372,3586.571429,PH201700000372,122.9405053,10.62149011
373,34206.5,PH201700000373,122.9335025,10.66155301
374,11606.47619,PH201700000374,123.1132876,9.60961404
375,29064,PH201700000375,123.0749091,9.573378901
376,-51099.56522,PH201700000376,123.0703608,9.526569864
377,94323.26316,PH201700000377,123.3043062,9.309553829
378,-55253.77273,PH201700000378,122.9925873,9.070603388
379,-25044,PH201700000379,123.2614205,9.222964344
380,-22097.2381,PH201700000380,123.1690442,9.469223226
381,-61138.61905,PH201700000381,123.3155284,10.27438613
382,-131010.1053,PH201700000382,123.09779,10.04239389
383,41157,PH201700000383,122.797946,9.368393158
384,-15531.28571,PH201700000384,123.0604187,9.056044603
385,-108132.2857,PH201700000385,123.0730306,9.203045706
386,33653,PH201700000386,120.5645423,18.27189206
387,35672.56,PH201700000387,120.5685064,18.2021948
388,32203.46154,PH201700000388,120.6911128,18.07391419
389,50831.33333,PH201700000389,120.5102032,18.06101651
390,73691.28,PH201700000390,120.6630737,18.15569417
391,23821.47619,PH201700000391,120.8099586,18.59806947
392,129365.1304,PH201700000392,120.5625446,18.06443729
393,23761.625,PH201700000393,120.6866335,18.00554369
394,117566.5217,PH201700000394,120.6901708,18.07191161
395,18831.04,PH201700000395,120.5414374,18.19151451
396,9332.074074,PH201700000396,120.4796278,18.06888927
397,79277.15385,PH201700000397,120.5706607,18.05788808
398,68617.36364,PH201700000398,120.4210093,17.65270153
399,29328.54545,PH201700000399,120.5098058,17.4858074
400,-23625.35,PH201700000400,120.5291941,17.85581892
401,67406.08,PH201700000401,120.4560765,17.21190432
402,18617.96,PH201700000402,120.4835352,17.10038257
403,52240.375,PH201700000403,120.4272064,17.17123178
404,41964.04348,PH201700000404,0,0
405,138422.8333,PH201700000405,120.3951326,17.57603656
406,102529.2632,PH201700000406,120.3963411,17.55460912
407,36888.45455,PH201700000407,120.520291,17.14116287
408,34265.375,PH201700000408,120.5108646,17.24190949
409,-10979.05263,PH201700000409,120.7394532,16.93732787
410,70591.86364,PH201700000410,120.4332591,16.82419615
411,-3083.76,PH201700000411,120.3942319,16.60477344
412,-28456,PH201700000412,120.4251297,16.61277461
413,7930.277778,PH201700000413,0,0
414,20654.6087,PH201700000414,120.333674,16.56806146
415,19587.52174,PH201700000415,0,0
416,111760.25,PH201700000416,120.30959,16.60827745
417,3551.458333,PH201700000417,120.4117647,16.86933611
418,103794.087,PH201700000418,120.3086041,16.63663177
419,-76698,PH201700000419,120.3783111,16.80469244
420,4724,PH201700000420,120.4007577,16.5117162
421,25483.33333,PH201700000421,120.4207998,16.43759765
422,51619.21739,PH201700000422,120.4605948,16.06313826
423,2734.5,PH201700000423,120.6688959,16.03131025
424,18880.34615,PH201700000424,120.4165967,16.10290334
425,103751.7368,PH201700000425,119.9881765,16.16149302
426,36874.77273,PH201700000426,120.3564937,16.08236642
427,7844.777778,PH201700000427,120.3151368,16.01183265
428,67153.13043,PH201700000428,120.707268,15.96495954
429,25182.41667,PH201700000429,120.5741509,15.83846844
430,44553.04545,PH201700000430,120.4768872,15.81530183
431,5937.65,PH201700000431,119.9248326,16.09587662
432,-18499.75,PH201700000432,120.2732061,15.76335758
433,-34382.21739,PH201700000433,120.2089892,15.91219492
434,106340.5263,PH201700000434,121.9595449,20.45878004
435,-12791.86957,PH201700000435,121.8201334,20.70594229
436,92266,PH201700000436,121.9794522,20.47045747
437,87688.95238,PH201700000437,121.9557377,20.41811536
438,91036.6,PH201700000438,121.9498808,20.37628182
439,58356.2381,PH201700000439,121.9929307,20.44904231
440,117893.95,PH201700000440,121.9727641,20.45080831
441,56001.3,PH201700000441,121.9405703,20.35956339
442,74045.625,PH201700000442,121.9694492,20.42627361
443,72673.45455,PH201700000443,121.9694086,20.45968824
444,86029.89474,PH201700000444,121.9398149,20.38924355
445,77072.08333,PH201700000445,121.942499,20.41278726
446,33535.27273,PH201700000446,121.6180382,18.03720191
447,-20079.5,PH201700000447,121.1146175,18.59155351
448,-28232.09524,PH201700000448,0,0
449,21013.59091,PH201700000449,121.7856256,17.91668732
450,95403.8,PH201700000450,121.7552448,17.66606572
451,-65808.25,PH201700000451,121.8345627,17.79312681
452,-1983.086957,PH201700000452,122.1079133,18.33400084
453,49815.18182,PH201700000453,121.5216118,18.38939516
454,-25148.2,PH201700000454,121.6011084,17.83899016
455,37069.52,PH201700000455,121.7300646,17.9397306
456,13164.26087,PH201700000456,121.8314309,17.68888714
457,-59617.92308,PH201700000457,121.7477593,17.86896146
458,15807.3913,PH201700000458,121.6132691,17.11956517
459,1484.85,PH201700000459,121.622938,17.20359725
460,39315.04167,PH201700000460,121.7377113,17.14328348
461,-11914.72727,PH201700000461,121.5701789,16.72413357
462,-32701.6087,PH201700000462,121.8816791,16.90433959
463,2817.478261,PH201700000463,121.7152476,16.71433812
464,54114.94444,PH201700000464,121.9321365,17.14247289
465,-616.9583333,PH201700000465,121.8785318,16.93023315
466,-35183.2,PH201700000466,121.7473877,17.47524643
467,70386.07692,PH201700000467,121.4661747,16.77344089
468,-44703.34783,PH201700000468,121.7109593,16.56253328
469,1908.666667,PH201700000469,121.8105777,16.89447666
470,11905.91667,PH201700000470,121.2206341,16.54439336
471,52084.73684,PH201700000471,121.1601987,16.47604197
472,21740.12,PH201700000472,121.004566,16.28596218
473,127691.6957,PH201700000473,121.1072064,16.4007008
474,-55687.92,PH201700000474,120.9841226,16.20344596
475,-35008.72727,PH201700000475,121.3274021,16.23077797
476,44295.30769,PH201700000476,121.2682365,16.56417525
477,4375.363636,PH201700000477,121.1659593,16.56614053
478,-70235.95455,PH201700000478,121.3356646,16.63072179
479,22330.43478,PH201700000479,121.0598951,16.27627632
480,24807.13043,PH201700000480,121.0881889,16.33719626
481,-93067.44,PH201700000481,121.0600148,16.39648475
482,85677.54167,PH201700000482,121.542519,16.5068317
483,-3099.2,PH201700000483,121.5263078,16.58052294
484,-48272.15789,PH201700000484,121.4000091,16.48125072
485,90472.52174,PH201700000485,121.6973894,16.34023471
486,35422.55,PH201700000486,121.6802918,16.26963584
487,-24271.75,PH201700000487,121.5537711,16.13983444
488,69414.3,PH201700000488,121.5200802,16.58380999
489,28234,PH201700000489,121.5568196,16.53784466
490,-55616.4,PH201700000490,121.4471911,16.56257808
491,58319.27273,PH201700000491,121.6044484,16.47178924
492,35819.27273,PH201700000492,121.6298705,16.3142103
493,-57174.86957,PH201700000493,121.6156098,16.37442517
494,77074.21739,PH201700000494,121.5133767,15.8456353
495,-41857.7619,PH201700000495,121.5383752,15.9701177
496,3768.375,PH201700000496,122.165968,16.43456614
497,112201.5714,PH201700000497,121.545905,15.74331804
498,-4039.764706,PH201700000498,121.4861292,15.77910327
499,28343,PH201700000499,121.4766463,15.7289191
500,19667.5,PH201700000500,121.5133753,15.81324055
501,-30268.875,PH201700000501,121.6451261,16.00102192
502,-34608.13043,PH201700000502,122.0163899,16.20231076
503,9501.73913,PH201700000503,121.5203417,15.72731229
504,20062.83333,PH201700000504,121.5218453,15.72973611
505,-41633.15789,PH201700000505,121.6037723,15.65554414
506,113879.8636,PH201700000506,120.4808839,14.85117743
507,47172.88,PH201700000507,120.4543815,14.62888632
508,38903.15,PH201700000508,120.2955593,14.65810399
509,65480.7037,PH201700000509,120.5462722,14.6679303
510,96320.625,PH201700000510,120.5027489,14.65255113
511,89610,PH201700000511,120.5612785,14.62279612
512,76654.17391,PH201700000512,120.4082378,14.55549101
513,77610.73913,PH201700000513,120.5390137,14.81363061
514,19821.85,PH201700000514,120.280647,14.73495488
515,103761.95,PH201700000515,120.5940975,14.56992898
516,13709.08,PH201700000516,120.5871933,14.5674701
517,61214.76923,PH201700000517,120.5056292,14.451432
518,109539.3333,PH201700000518,120.9714869,14.85717535
519,49453.06667,PH201700000519,121.0487928,14.8638959
520,130956.3333,PH201700000520,121.0191813,14.78718238
521,90604.95652,PH201700000521,120.837529,14.88817775
522,95422.26087,PH201700000522,120.735347,14.85036574
